Tipodoc,importe,Factura,cuenta,planta,Micelaneo
BC7,13481.21,ETP313824,40410107 ,TOL,FIN010
BC7,41013.73,ETP313825,40410107 ,TOL,FIN010
BC7,10945.37,ETP313826,40410107 ,TOL,FIN010
BC7,13640.46,ETP313827,40410107 ,TOL,FIN010
BC7,29312.41,ETP313828,40410107 ,TOL,FIN010
BC7,7682.69,ETP313829,40410107 ,TOL,FIN010
BC7,9488.98,ETP315455,40410107 ,TOL,FIN010
BC7,528.96,ETP315456,40410107 ,TOL,FIN010
BC7,2656.68,ETP315457,40410107 ,TOL,FIN010
BC7,12794.26,ETP315458,40410107 ,TOL,FIN010
BC7,4893.26,ETP315449,40410107 ,TOL,FIN010
BC7,14734.50,ETP315450,40410107 ,TOL,FIN010
BC7,3768.84,ETP315451,40410107 ,TOL,FIN010
BC7,14295.60,ETP315452,40410107 ,TOL,FIN010
BC7,1780.54,ETP315453,40410107 ,TOL,FIN010
BC7,11970.00,ETP315454,40410107 ,TOL,FIN010
BC7,8578.50,ETP314691,40410107 ,TOL,FIN010
BC7,9369.95,ETP315444,40410107 ,TOL,FIN010
BC7,6583.50,ETP315445,40410107 ,TOL,FIN010
BC7,3387.32,ETP315446,40410107 ,TOL,FIN010
BC7,1024.10,ETP315447,40410107 ,TOL,FIN010
BC7,2290.55,ETP315448,40410107 ,TOL,FIN010
BC7,36329.14,ETP314685,40410107 ,TOL,FIN010
BC7,1256.28,ETP314686,40410107 ,TOL,FIN010
BC7,1719.03,ETP314687,40410107 ,TOL,FIN010
BC7,11347.44,ETP314688,40410107 ,TOL,FIN010
BC7,188.78,ETP314689,40410107 ,TOL,FIN010
BC7,8578.50,ETP314690,40410107 ,TOL,FIN010
BC7,5986.52,ETP314679,40410107 ,TOL,FIN010
BC7,8483.50,ETP314680,40410107 ,TOL,FIN010
BC7,6942.60,ETP314681,40410107 ,TOL,FIN010
BC7,7900.20,ETP314682,40410107 ,TOL,FIN010
BC7,1610.96,ETP314683,40410107 ,TOL,FIN010
BC7,21346.50,ETP314684,40410107 ,TOL,FIN010
BC7,1562.75,ETP313964,40410107 ,TOL,FIN010
BC7,6407.16,ETP313965,40410107 ,TOL,FIN010
BC7,517.10,ETP314675,40410107 ,TOL,FIN010
BC7,2717.57,ETP314676,40410107 ,TOL,FIN010
BC7,744.80,ETP314677,40410107 ,TOL,FIN010
BC7,2545.05,ETP314678,40410107 ,TOL,FIN010
BC7,1454.64,ETP313958,40410107 ,TOL,FIN010
BC7,8464.50,ETP313959,40410107 ,TOL,FIN010
BC7,1695.75,ETP313960,40410107 ,TOL,FIN010
BC7,10972.50,ETP313961,40410107 ,TOL,FIN010
BC7,10572.93,ETP313962,40410107 ,TOL,FIN010
BC7,264.48,ETP313963,40410107 ,TOL,FIN010
BC7,155.33,ETP313952,40410107 ,TOL,FIN010
BC7,314.64,ETP313953,40410107 ,TOL,FIN010
BC7,6808.27,ETP313954,40410107 ,TOL,FIN010
BC7,1102.86,ETP313955,40410107 ,TOL,FIN010
BC7,4974.58,ETP313956,40410107 ,TOL,FIN010
BC7,4375.70,ETP313957,40410107 ,TOL,FIN010
BC7,11870.25,ETP313862,40410107 ,TOL,FIN010
BC7,19620.41,ETP313863,40410107 ,TOL,FIN010
BC7,7498.01,ETP313864,40410107 ,TOL,FIN010
BC7,8638.96,ETP313865,40410107 ,TOL,FIN010
BC7,18320.26,ETP313866,40410107 ,TOL,FIN010
BC7,975.83,ETP313951,40410107 ,TOL,FIN010
