ERA2721,09/10/2015,23/11/2015,10400.07,9.3106
ERA2726,09/10/2015,23/11/2015,9622.23,9.3106
ERA2727,09/10/2015,23/11/2015,18196.26,9.3106
ETP240907,09/10/2015,23/11/2015,22151.32,9.3106
ETP240908,09/10/2015,23/11/2015,81264.69,9.3106
ETP240909,09/10/2015,23/11/2015,1348.65,9.3106
ETP240929,09/10/2015,23/11/2015,25030.65,9.3106
ETP240930,09/10/2015,23/11/2015,128729.57,9.3106
ETP240931,09/10/2015,23/11/2015,62.91,9.3106
ETP240932,09/10/2015,23/11/2015,674.73,9.3106
ETP240933,09/10/2015,23/11/2015,78149.52,9.3106
ETP240934,09/10/2015,23/11/2015,125.81,9.3106
ETP240935,09/10/2015,23/11/2015,897.82,9.3106
ETP240936,09/10/2015,23/11/2015,99.76,9.3106
ETP240937,09/10/2015,23/11/2015,498.80,9.3106
ETP240938,09/10/2015,23/11/2015,17185.28,9.3106
ETP240939,09/10/2015,23/11/2015,31656.58,9.3106
ETP240945,09/10/2015,23/11/2015,2596.65,9.3106
ETP240946,09/10/2015,23/11/2015,402.58,9.3106
ETP240947,09/10/2015,23/11/2015,897.82,9.3106
ETP240948,09/10/2015,23/11/2015,248598.40,9.3106
ETP240949,09/10/2015,23/11/2015,6118.89,9.3106
ETP240950,09/10/2015,23/11/2015,299.27,9.3106
ETP240951,09/10/2015,23/11/2015,1289.12,9.3106
ETP240957,09/10/2015,23/11/2015,504.90,9.3106
ETP240958,09/10/2015,23/11/2015,698.29,9.3106
ETP240959,09/10/2015,23/11/2015,697.81,9.3106
ETP240960,09/10/2015,23/11/2015,102793.81,9.3106
ETP240961,09/10/2015,23/11/2015,39491.39,9.3106
ETP240962,09/10/2015,23/11/2015,1091.89,9.3106
ETP241034,09/10/2015,23/11/2015,170670.13,9.3106
ETP241112,09/10/2015,23/11/2015,14870.78,9.3106
ETP241113,09/10/2015,23/11/2015,63349.02,9.3106
ETP242466,09/10/2015,23/11/2015,6792.08,9.3106
EBA6560,09/10/2015,30/11/2015,1493.62,9.3106
EBA6561,09/10/2015,30/11/2015,997.08,9.3106
EBA6562,09/10/2015,30/11/2015,1994.15,9.3106
EBA6563,09/10/2015,30/11/2015,12808.80,9.3106
EBA6564,09/10/2015,30/11/2015,108.82,9.3106
EBA6565,09/10/2015,30/11/2015,19773.28,9.3106
EBA6566,09/10/2015,30/11/2015,36893.51,9.3106
EGB98189,09/10/2015,30/11/2015,112185.12,9.3106
EGB98192,09/10/2015,30/11/2015,5623.32,9.3106
EGB98193,09/10/2015,30/11/2015,896.17,9.3106
EGB98194,09/10/2015,30/11/2015,2134.95,9.3106
EGB98195,09/10/2015,30/11/2015,1937.40,9.3106
EGB98196,09/10/2015,30/11/2015,50692.42,9.3106
EGB98242,09/10/2015,30/11/2015,41977.71,9.3106
EGB98243,09/10/2015,30/11/2015,7669.38,9.3106
ERA2804,09/10/2015,30/11/2015,27348.03,9.3106
ERA2759,09/10/2015,30/11/2015,10349.30,9.3106
ERA2762,09/10/2015,30/11/2015,1826.43,9.3106
ERA2763,09/10/2015,30/11/2015,2225.14,9.3106
ERA2764,09/10/2015,30/11/2015,99.58,9.3106
ERA2787,09/10/2015,30/11/2015,20280.44,9.3106
ERA2789,09/10/2015,30/11/2015,9376.38,9.3106
ERA2790,09/10/2015,30/11/2015,2364.71,9.3106
ERA2791,09/10/2015,30/11/2015,262.87,9.3106
ERA2792,09/10/2015,30/11/2015,1572.56,9.3106
ERA2800,09/10/2015,30/11/2015,298.72,9.3106
ERA2801,09/10/2015,30/11/2015,6571.86,9.3106
ERA2802,09/10/2015,30/11/2015,6824.89,9.3106
ERA2803,09/10/2015,30/11/2015,245830.25,9.3106
ERA2805,09/10/2015,30/11/2015,6039.34,9.3106
ERA2806,09/10/2015,30/11/2015,243.61,9.3106
ERA2808,09/10/2015,30/11/2015,5350.39,9.3106
ERA2809,09/10/2015,30/11/2015,10784.51,9.3106
ETP241527,09/10/2015,30/11/2015,497.88,9.3106
ETP241528,09/10/2015,30/11/2015,4440.65,9.3106
ETP241529,09/10/2015,30/11/2015,691.51,9.3106
ETP241530,09/10/2015,30/11/2015,4109.25,9.3106
ETP241531,09/10/2015,30/11/2015,99.58,9.3106
ETP241532,09/10/2015,30/11/2015,228542.41,9.3106
ETP241606,09/10/2015,30/11/2015,99.58,9.3106
ETP241607,09/10/2015,30/11/2015,1095.31,9.3106
ETP241608,09/10/2015,30/11/2015,536.63,9.3106
ETP241609,09/10/2015,30/11/2015,36475.38,9.3106
ETP241610,09/10/2015,30/11/2015,962.11,9.3106
ETP241612,09/10/2015,30/11/2015,103547.52,9.3106
ETP241613,09/10/2015,30/11/2015,63015.96,9.3106
ETP241614,09/10/2015,30/11/2015,19198.97,9.3106
ETP241615,09/10/2015,30/11/2015,51235.21,9.3106
ETP241616,09/10/2015,30/11/2015,39647.35,9.3106
ETP241617,09/10/2015,30/11/2015,13893.78,9.3106
ETP241618,09/10/2015,30/11/2015,1265.82,9.3106
ETP241648,09/10/2015,30/11/2015,16369.32,9.3106
ETP241649,09/10/2015,30/11/2015,94345.96,9.3106
ETP241650,09/10/2015,30/11/2015,1164.54,9.3106
ETP241651,09/10/2015,30/11/2015,252142.82,9.3106
ETP241712,09/10/2015,30/11/2015,995.73,9.3106
ETP241713,09/10/2015,30/11/2015,2518.27,9.3106
ETP241714,09/10/2015,30/11/2015,102091.63,9.3106
ETP241715,09/10/2015,30/11/2015,46033.90,9.3106
ETP241716,09/10/2015,30/11/2015,2222.23,9.3106
ETP241765,09/10/2015,30/11/2015,100775.14,9.3106
ETP241766,09/10/2015,30/11/2015,883.22,9.3106
EBA6584,09/10/2015,07/12/2015,388.57,9.3106
EBA6585,09/10/2015,07/12/2015,359.32,9.3106
EBA6586,09/10/2015,07/12/2015,450.41,9.3106
EBA6587,09/10/2015,07/12/2015,488.85,9.3106
EBA6588,09/10/2015,07/12/2015,1590.26,9.3106
EBA6589,09/10/2015,07/12/2015,17943.19,9.3106
EBA6590,09/10/2015,07/12/2015,145.30,9.3106
EBA6591,09/10/2015,07/12/2015,12653.23,9.3106
EBA6592,09/10/2015,07/12/2015,15254.56,9.3106
EGB98407,09/10/2015,07/12/2015,23690.34,9.3106
EGB98408,09/10/2015,07/12/2015,486.34,9.3106
EGB98464,09/10/2015,07/12/2015,6305.72,9.3106
EGB98465,09/10/2015,07/12/2015,12329.83,9.3106
EGB98466,09/10/2015,07/12/2015,11451.59,9.3106
EGB98473,09/10/2015,07/12/2015,17861.76,9.3106
EGB98474,09/10/2015,07/12/2015,188.02,9.3106
EGB98475,09/10/2015,07/12/2015,37112.35,9.3106
EGB98476,09/10/2015,07/12/2015,12436.79,9.3106
EGB98477,09/10/2015,07/12/2015,54.32,9.3106
EGB98478,09/10/2015,07/12/2015,355.89,9.3106
EGB98479,09/10/2015,07/12/2015,67450.80,9.3106
EGB98480,09/10/2015,07/12/2015,2412.66,9.3106
EGB98481,09/10/2015,07/12/2015,24150.30,9.3106
EGB98482,09/10/2015,07/12/2015,298.17,9.3106
EGB98483,09/10/2015,07/12/2015,1789.03,9.3106
ERA2905,09/10/2015,07/12/2015,10109.88,9.3106
ERA2910,09/10/2015,07/12/2015,11239.33,9.3106
