ETP244007,22/01/2016
ETP244008,22/01/2016
ETP244243,22/01/2016
ETP244244,22/01/2016
ETP244245,22/01/2016
ETP244246,22/01/2016
ETP244255,22/01/2016
ETP244257,22/01/2016
ETP244258,22/01/2016
ETP244263,22/01/2016
ETP244330,22/01/2016
EGB99647,22/01/2016
EGB99648,22/01/2016
EGB99576,22/01/2016
ETP245414,22/01/2016
ETP245415,22/01/2016
ETP245416,22/01/2016
ERA4075,22/01/2016
ETP245932,22/01/2016
ETP245934,22/01/2016
ETP246419,22/01/2016
ETP246420,22/01/2016
ETP246433,22/01/2016
EGB99713,22/01/2016
EGB99714,22/01/2016
EGB99717,22/01/2016
EGB99718,22/01/2016
ETP245928,22/01/2016
ETP245930,22/01/2016
ETP245971,22/01/2016
EGB99778,22/01/2016
EGB99780,22/01/2016
EGB99781,22/01/2016
EGB99786,22/01/2016
EGB99787,22/01/2016
ETP246290,22/01/2016
EGB99886,22/01/2016
EGB99888,22/01/2016
ERA4031,22/01/2016
ERA4034,22/01/2016
ERA4038,22/01/2016
ERA4066,22/01/2016
ERA4067,22/01/2016
ETP246418,22/01/2016
ETP246431,22/01/2016
ETP246458,22/01/2016
ETP246462,22/01/2016
ETP246525,22/01/2016
ETP246549,22/01/2016
ETP246692,22/01/2016
ETP245595,22/01/2016
ETP245726,22/01/2016
ETP245764,22/01/2016
ETP245765,22/01/2016
ETP245766,22/01/2016
ETP245767,22/01/2016
ETP245769,22/01/2016
ETP245772,22/01/2016
ETP245776,22/01/2016
ETP245777,22/01/2016
ETP245778,22/01/2016
ETP245779,22/01/2016
ETP245831,22/01/2016
ETP246812,22/01/2016
ETP247329,22/01/2016
ETP247317,22/01/2016
ETP247283,22/01/2016
ETP247284,22/01/2016
ETP247285,22/01/2016
ETP247316,22/01/2016
ETP247276,22/01/2016
ETP247277,22/01/2016
ETP247280,22/01/2016
ETP246885,22/01/2016
ERA4169,22/01/2016
ERA4170,22/01/2016
ERA4171,22/01/2016
ETP245981,22/01/2016
ERA4280,22/01/2016
ERA4282,22/01/2016
ERA4283,22/01/2016
ERA4367,22/01/2016
ERA4373,22/01/2016
ERA4374,22/01/2016
ERA4375,22/01/2016
ERA4376,22/01/2016
ETP247519,22/01/2016
ETP247521,22/01/2016
ETP247542,22/01/2016
ETP247557,22/01/2016
ETP247558,22/01/2016
ETP247800,22/01/2016
ETP247830,22/01/2016
ETP247831,22/01/2016
ETP247903,22/01/2016
ETP247904,22/01/2016
ETP247915,22/01/2016
ETP248005,22/01/2016
ETP248006,22/01/2016
ETP248007,22/01/2016
ETP248125,22/01/2016
ETP248126,22/01/2016
ETP248411,22/01/2016
ETP248412,22/01/2016
ETP248413,22/01/2016
ETP247520,22/01/2016
ETP247541,22/01/2016
ETP247555,22/01/2016
ETP247556,22/01/2016
EGB100195,22/01/2016
EGB100225,22/01/2016
EGB100226,22/01/2016
ETP247702,22/01/2016
ETP247703,22/01/2016
ETP247711,22/01/2016
ETP247757,22/01/2016
ETP247767,22/01/2016
ETP247779,22/01/2016
ETP247798,22/01/2016
ETP247799,22/01/2016
ETP247810,22/01/2016
ETP247813,22/01/2016
ETP247814,22/01/2016
ETP247825,22/01/2016
ETP247829,22/01/2016
EGB100233,22/01/2016
EGB100236,22/01/2016
EGB100261,22/01/2016
EGB100263,22/01/2016
EGB100264,22/01/2016
EGB100267,22/01/2016
ETP247845,22/01/2016
ETP247846,22/01/2016
ETP247863,22/01/2016
ETP247864,22/01/2016
ETP247865,22/01/2016
ETP247894,22/01/2016
EGB100268,22/01/2016
EGB100299,22/01/2016
EGB100303,22/01/2016
ERA4353,22/01/2016
ERA4355,22/01/2016
ERA4356,22/01/2016
ERA4357,22/01/2016
ERA4358,22/01/2016
ETP247965,22/01/2016
ETP247966,22/01/2016
ETP248002,22/01/2016
ETP248003,22/01/2016
ETP248010,22/01/2016
ETP248011,22/01/2016
ETP248012,22/01/2016
ETP248013,22/01/2016
ETP248019,22/01/2016
ETP248042,22/01/2016
ETP248048,22/01/2016
EGB100318,22/01/2016
EGB100321,22/01/2016
EGB100331,22/01/2016
EGB100334,22/01/2016
EGB100335,22/01/2016
EGB100336,22/01/2016
EGB100345,22/01/2016
EGB100346,22/01/2016
EGB100348,22/01/2016
EGB100349,22/01/2016
EGB100351,22/01/2016
EGB100352,22/01/2016
EGB100353,22/01/2016
EGB100354,22/01/2016
ETP248093,22/01/2016
ETP248097,22/01/2016
ETP248098,22/01/2016
ETP248099,22/01/2016
ETP248139,22/01/2016
ETP248150,22/01/2016
ETP248173,22/01/2016
ETP248174,22/01/2016
ETP248196,22/01/2016
ETP248197,22/01/2016
ETP248199,22/01/2016
ETP248202,22/01/2016
ETP248231,22/01/2016
ETP248232,22/01/2016
EGB100397,22/01/2016
EGB100402,22/01/2016
EGB100403,22/01/2016
EGB100404,22/01/2016
EGB100416,22/01/2016
EGB100431,22/01/2016
EGB100438,22/01/2016
ERA4426,22/01/2016
ERA4427,22/01/2016
ERA4429,22/01/2016
ERA4443,22/01/2016
ERA4445,22/01/2016
ERA4446,22/01/2016
ERA4448,22/01/2016
ERA4449,22/01/2016
ERA4451,22/01/2016
