CESION,DEUDOR,POBLACION,FOLIO,NO. FACT.,IMP. NETO,FEC/EXP.,FEC/REV.,FEC/VENC,R. F. C.,tipo docto
11,100061,,,ETP241930,10771.67,29/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP241931,33755.88,29/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242159,11868.00,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242160,9625.00,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242161,2837.76,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242162,9549.54,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242163,12125.24,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242164,20634.77,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242165,15501.72,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242166,2080.00,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242167,23310.00,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242168,36164.75,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242171,8677.99,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242172,109.00,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242174,2171.17,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242175,819.40,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242179,4370.00,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242180,8243.87,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242181,76907.11,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242182,15015.08,30/09/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242461,201522.36,02/10/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242462,9863.10,02/10/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242463,23306.88,02/10/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242464,31003.44,02/10/2015,18/12/2015,18/12/2015,PAM781201CWO,FS
11,100061,,,ETP242699,42840.00,06/10/2015,25/12/2015,25/12/2015,PAM781201CWO,FS
11,100061,,,ETP242700,34783.38,06/10/2015,25/12/2015,25/12/2015,PAM781201CWO,FS
11,100061,,,ETP242701,62303.69,06/10/2015,25/12/2015,25/12/2015,PAM781201CWO,FS
11,100061,,,ETP242702,146170.00,06/10/2015,25/12/2015,25/12/2015,PAM781201CWO,FS
11,100061,,,ETP242704,107704.08,06/10/2015,25/12/2015,25/12/2015,PAM781201CWO,FS
11,100061,,,ETP242705,93227.50,06/10/2015,25/12/2015,25/12/2015,PAM781201CWO,FS
