ERA6460,02/05/2016,4610.4
ERA6461,02/05/2016,241.59
ERA6462,02/05/2016,21417.97
ERA6463,02/05/2016,26789.45
ERA6464,02/05/2016,106286.7
ERA6416,25/04/2016,283.64
ERA6417,25/04/2016,67446.84
ERA6418,25/04/2016,20917.99
ERA6419,25/04/2016,21378.38
ERA6420,25/04/2016,14847.67
ERA6421,25/04/2016,11238.79
ERA6374,25/04/2016,27280.76
ERA6375,25/04/2016,11415.76
ERA6376,25/04/2016,10453.61
ERA6377,25/04/2016,2251.28
ERA6378,25/04/2016,2641.38
ERA6415,25/04/2016,3025.58
ERA6281,18/04/2016,20380.04
ERA6282,18/04/2016,23825
ERA6283,18/04/2016,3842
ERA6371,25/04/2016,450.39
ERA6372,25/04/2016,15675.73
ERA6373,25/04/2016,68104.61
EGB103247,02/05/2016,43015.27
ERA6276,18/04/2016,32936.23
ERA6277,18/04/2016,113804.82
ERA6278,18/04/2016,25076.5
ERA6279,18/04/2016,14905.23
ERA6280,18/04/2016,8771.85
EGB103158,02/05/2016,11823.7
EGB103159,02/05/2016,19496.88
EGB103160,02/05/2016,3855.87
EGB103161,02/05/2016,3596.04
EGB103230,02/05/2016,140024.33
EGB103231,02/05/2016,46882.9
EGB103152,02/05/2016,51041.73
EGB103153,02/05/2016,16951.62
EGB103154,02/05/2016,4915.52
EGB103155,02/05/2016,10078.93
EGB103156,02/05/2016,15677.56
EGB103157,02/05/2016,15827.17
EGB103124,25/04/2016,9873.35
EGB103125,25/04/2016,19635.83
EGB103126,25/04/2016,10693.78
EGB103127,25/04/2016,2485.21
EGB103130,25/04/2016,50445.8
EGB103151,02/05/2016,2397.74
EGB103116,25/04/2016,68324.3
EGB103117,25/04/2016,7458.63
EGB103118,25/04/2016,18768.88
EGB103121,25/04/2016,106996.81
EGB103122,25/04/2016,24160.09
EGB103123,25/04/2016,11500.02
EGB103063,25/04/2016,9724.53
EGB103081,25/04/2016,153791.93
EGB103112,25/04/2016,14775.25
EGB103113,25/04/2016,809.71
EGB103114,25/04/2016,110826.31
EGB103115,25/04/2016,16085.27
EGB103057,25/04/2016,18704.5
EGB103058,25/04/2016,22954.53
EGB103059,25/04/2016,11933.17
EGB103060,25/04/2016,23330.66
EGB103061,25/04/2016,2023.73
EGB103062,25/04/2016,7694.81
EGB103029,25/04/2016,126633.37
EGB103030,25/04/2016,1606.4
EGB103053,25/04/2016,26085.99
EGB103054,25/04/2016,13533.55
EGB103055,25/04/2016,17347.82
EGB103056,25/04/2016,7016.73
EGB102993,25/04/2016,610.42
EGB103024,25/04/2016,48508.72
EGB103025,25/04/2016,2029.63
EGB103026,25/04/2016,88350
EGB103027,25/04/2016,8571.35
EGB103028,25/04/2016,15383.14
EGB102983,25/04/2016,12687.58
EGB102984,25/04/2016,17056.64
EGB102985,25/04/2016,32787.81
EGB102986,25/04/2016,48332.53
EGB102991,25/04/2016,134479.26
EGB102992,25/04/2016,605.71
EGB102958,25/04/2016,13972.74
EGB102978,25/04/2016,85781.43
EGB102979,25/04/2016,9109.97
EGB102980,25/04/2016,4725.71
EGB102981,25/04/2016,21223.09
EGB102982,25/04/2016,13070.67
EGB102915,25/04/2016,9741.94
EGB102938,25/04/2016,170584.19
EGB102954,25/04/2016,173768.22
EGB102955,25/04/2016,89.93
EGB102956,25/04/2016,26858.52
EGB102957,25/04/2016,42636.76
EGB102909,25/04/2016,109163.83
EGB102910,25/04/2016,8566.22
EGB102911,25/04/2016,9154.1
EGB102912,25/04/2016,983.79
EGB102913,25/04/2016,21201.05
EGB102914,25/04/2016,24325.62
EGB102851,18/04/2016,9626.49
EGB102852,18/04/2016,16911.64
EGB102853,18/04/2016,7025.96
EGB102854,18/04/2016,8979.88
EGB102855,18/04/2016,2029.46
EGB102882,25/04/2016,37288.99
EGB102845,18/04/2016,7587.28
EGB102846,18/04/2016,5109.14
EGB102847,18/04/2016,5627.71
EGB102848,18/04/2016,5455.25
EGB102849,18/04/2016,89.93
EGB102850,18/04/2016,14267
