PROVEEDOR,NO.FACT.,IMP. NETO,T. COBRO
100061,FS ETP243063,5327.75,CS
100061,FS ETP243064,248158.89,CS
100061,FS ETP243092,256343.46,CS
100061,FS ETP243148,446.25,CS
100061,FS ETP243149,24357.60,CS
100061,FS ETP243150,63.75,CS
100061,FS ETP243151,55.25,CS
100061,FS ETP243152,83272.93,CS
100061,FS ETP243153,45645.85,CS
100061,FS ETP243154,36141.98,CS
100061,FS ETP243155,1970.95,CS
100061,FS ETP243186,15021.27,CS
100061,FS ETP243270,66051.38,CS
100061,FS ETP243358,2500.14,CS
100061,FS ETP243360,11935.84,CS
100061,FS ETP243364,6059.09,CS
100061,FS ETP243367,40824.31,CS
100061,FS ETP243369,89.93,CS
100061,FS ETP243413,59203.23,CS
100061,FS ETP243468,5335.18,CS
100061,FS ETP243470,11950.59,CS
100061,FS ETP243500,17018.80,CS
100061,FS ETP243607,1953.28,CS
100061,FS ETP243610,3085.79,CS
100061,FS ETP243619,359.72,CS
100061,FS ETP243621,18434.48,CS
100061,FS ETP243691,7036.30,CS
100061,FS ETP243692,39948.30,CS
100061,FS ETP243693,17971.98,CS
100061,FS ETP243694,73051.58,CS
100061,FS ETP243715,6940.08,CS
100061,FS ETP243723,68260.95,CS
100061,FS ETP243724,10232.30,CS
100061,FS ETP243726,97302.05,CS
100061,FS ETP243762,8961.62,CS
100061,FS ETP243764,12806.97,CS
100061,FS ETP243830,1438.88,CS
100061,FS ETP243833,48584.76,CS
100061,FS ETP243869,51592.81,CS
100061,FS ETP243879,63422.16,CS
100061,FS ETP244341,1112.09,CS
100061,FS ETP244342,3437.37,CS
100061,FS ETP244343,505.50,CS
100061,FS ETP244372,20850.93,CS
100061,FS ETP244373,53214.98,CS
100061,FS ETP244375,36034.88,CS
100061,FS ETP244376,1330.43,CS
100061,FS ETP244404,1415.39,CS
100061,FS ETP244405,2830.77,CS
100061,FS ETP244415,2021.98,CS
100061,FS ETP244574,268733.25,CS
100061,FS ETP244631,265294.29,CS
100061,FS ETP244652,178916.08,CS
100061,FS ETP244653,292983.29,CS
100061,FS ETP244670,268274.06,CS
100061,FS ETP244727,87761.67,CS
100061,FS ETP244728,33465.37,CS
100061,FS ETP244729,170057.63,CS
100061,FS ETP244737,107441.56,CS
